code,value
1110100,Акція проста бездокументарна іменна
1210100,Акція проста документарна іменна
1310100,Акція проста документарна на пред'явника
1110101,Акція привілейована бездокументарна іменна
1210101,Акція привілейована документарна іменна
1310101,Акція привілейована документарна на пред'явника
1110105,Акція корпоративного інвестиційного фонду проста бездокументарна іменна
1110110,Інвестиційний сертифікат бездокументарний іменний
1210110,Інвестиційний сертифікат документарний іменний
1310110,Інвестиційний сертифікат документарний на пред'явника
1110120,Сертифікат фонду операцій з нерухомістю (ФОН) бездокументарний іменний
1210120,Сертифікат ФОН документарний іменний
1310120,Сертифікат ФОН документарний на пред'явника
1120200,Облігація підприємства відсоткова бездокументарна іменна
1220200,Облігація підприємства відсоткова документарна іменна
1320200,Облігація підприємства відсоткова документарна на пред'явника
1120210,Облігація підприємства дисконтна бездокументарна іменна
1220210,Облігація підприємства дисконтна документарна іменна
1320210,Облігація підприємства дисконтна документарна на пред'явника
1120220,Облігація підприємства цільова бездокументарна іменна
1220220,Облігація підприємства цільова документарна іменна
1320220,Облігація підприємства цільова документарна на пред'явника
1120231,Облігація внутрішніх місцевих позик відсоткова бездокументарна іменна
1220231,Облігація внутрішніх місцевих позик відсоткова документарна іменна
1320231,Облігація внутрішніх місцевих позик відсоткова документарна на пред'явника
1120232,Облігація внутрішніх місцевих позик дисконтна бездокументарна іменна
1220232,Облігація внутрішніх місцевих позик дисконтна документарна іменна
1320232,Облігація внутрішніх місцевих позик дисконтна документарна на пред'явника
1120234,Облігація внутрішніх місцевих позик цільова бездокументарна іменна
1220234,Облігація внутрішніх місцевих позик цільова документарна іменна
1320234,Облігація внутрішніх місцевих позик цільова документарна на пред'явника
1120235,Облігація зовнішніх місцевих позик відсоткова бездокументарна іменна
1220235,Облігація зовнішніх місцевих позик відсоткова документарна іменна
1320235,Облігація зовнішніх місцевих позик відсоткова документарна на пред'явника
1120236,Облігація зовнішніх місцевих позик дисконтна бездокументарна іменна
1220236,Облігація зовнішніх місцевих позик дисконтна документарна іменна
1320236,Облігація зовнішніх місцевих позик дисконтна документарна на пред'явника
1120237,Облігація зовнішніх місцевих позик цільова бездокументарна іменна
1220237,Облігація зовнішніх місцевих позик цільова документарна іменна
1320237,Облігація зовнішніх місцевих позик цільова документарна на пред'явника
1120240,Облігація внутрішніх державних позик України довгострокова відсоткова бездокументарна іменна
1220240,Облігація внутрішніх державних позик України довгострокова відсоткова документарна іменна
1320240,Облігація внутрішніх державних позик України довгострокова відсоткова документарна на пред’явника
1120241,Облігація внутрішніх державних позик України довгострокова дисконтна бездокументарна іменна
1220241,Облігація внутрішніх державних позик України довгострокова дисконтна документарна іменна
1320241,Облігація внутрішніх державних позик України довгострокова дисконтна документарна на пред'явника
1120242,Облігація внутрішніх державних позик України довгострокова відсоткова з достроковим погашенням бездокументарна іменна
1120243,Облігація внутрішніх державних позик України довгострокова амортизаційна бездокументарна іменна
1120244,Облігація внутрішніх державних позик України середньострокова відсоткова бездокументарна іменна
1220244,Облігація внутрішніх державних позик України середньострокова відсоткова документарна іменна
1320244,Облігація внутрішніх державних позик України середньострокова відсоткова документарна на пред'явника
1120245,Облігація внутрішніх державних позик України середньострокова дисконтна бездокументарна іменна
1220245,Облігація внутрішніх державних позик України середньострокова дисконтна документарна іменна
1320245,Облігація внутрішніх державних позик України середньострокова дисконтна документарна на пред'явника
1120246,Облігація внутрішніх державних позик України короткострокова відсоткова бездокументарна іменна
1220246,Облігація внутрішніх державних позик України короткострокова відсоткова документарна іменна
1320246,Облігація внутрішніх державних позик України короткострокова відсоткова документарна на пред'явника
1120247,Облігація внутрішніх державних позик України короткострокова дисконтна бездокументарна іменна
1220247,Облігація внутрішніх державних позик України короткострокова дисконтна документарна іменна
1320247,Облігація внутрішніх державних позик України короткострокова дисконтна документарна на пред'явника
1120248,Облігація внутрішніх державних позик України середньострокова з індексованою вартістю бездокументарна іменна
1120249,Облігація внутрішніх державних позик України довгострокова з індексованою вартістю бездокументарна іменна
1120250,Цільова облігація внутрішніх державних позик України довгострокова відсоткова бездокументарна іменна
1220250,Цільова облігація внутрішніх державних позик України довгострокова відсоткова документарна іменна
1320250,Цільова облігація внутрішніх державних позик України довгострокова відсоткова документарна на пред'явника
1120251,Цільова облігація внутрішніх державних позик України довгострокова дисконтна бездокументарна іменна
1220251,Цільова облігація внутрішніх державних позик України довгострокова дисконтна документарна іменна
1320251,Цільова облігація внутрішніх державних позик України довгострокова дисконтна документарна на пред'явника
1120252,Цільова облігація внутрішніх державних позик України середньострокова відсоткова бездокументарна іменна
1220252,Цільова облігація внутрішніх державних позик України середньострокова відсоткова документарна іменна
1320252,Цільова облігація внутрішніх державних позик України середньострокова відсоткова документарна на пред'явника
1120253,Цільова облігація внутрішніх державних позик України середньострокова дисконтна бездокументарна іменна
1220253,Цільова облігація внутрішніх державних позик України середньострокова дисконтна документарна іменна
1320253,Цільова облігація внутрішніх державних позик України середньострокова дисконтна документарна на пред'явника
1120254,Цільова облігація внутрішніх державних позик України короткострокова відсоткова бездокументарна іменна
1220254,Цільова облігація внутрішніх державних позик України короткострокова відсоткова документарна іменна
1320254,Цільова облігація внутрішніх державних позик України короткострокова відсоткова документарна на пред'явника
1120255,Цільова облігація внутрішніх державних позик України короткострокова дисконтна бездокументарна іменна
1220255,Цільова облігація внутрішніх державних позик України короткострокова дисконтна документарна іменна
1320255,Цільова облігація внутрішніх державних позик України короткострокова дисконтна документарна на пред'явника
1120256,Облігація внутрішніх державних позик України середньострокова з достроковим погашенням бездокументарна іменна
1120257,Облігація внутрішніх державних позик України середньострокова амортизаційна бездокументарна іменна
1120258,Облігація внутрішніх державних позик України середньострокова для відшкодування сум податку на додану вартість бездокументарна іменна
1120260,Облігація зовнішніх державних позик України довгострокова відсоткова бездокументарна іменна
1220260,Облігація зовнішніх державних позик України довгострокова відсоткова документарна іменна
1320260,Облігація зовнішніх державних позик України довгострокова відсоткова документарна на пред'явника
1120261,Облігація зовнішніх державних позик України довгострокова дисконтна бездокументарна іменна
1220261,Облігація зовнішніх державних позик України довгострокова дисконтна документарна іменна
1320261,Облігація зовнішніх державних позик України довгострокова дисконтна документарна на пред'явника
1120262,Облігація зовнішніх державних позик України середньострокова відсоткова бездокументарна іменна
1220262,Облігація зовнішніх державних позик України середньострокова відсоткова документарна іменна
1320262,Облігація зовнішніх державних позик України середньострокова відсоткова документарна на пред'явника
1120263,Облігація зовнішніх державних позик України середньострокова дисконтна бездокументарна іменна
1220263,Облігація зовнішніх державних позик України середньострокова дисконтна документарна іменна
1320263,Облігація зовнішніх державних позик України середньострокова дисконтна документарна на пред'явника
1120264,Облігація зовнішніх державних позик України короткострокова відсоткова бездокументарна іменна
1220264,Облігація зовнішніх державних позик України короткострокова відсоткова документарна іменна
1320264,Облігація зовнішніх державних позик України короткострокова відсоткова документарна на пред'явника
1120265,Облігація зовнішніх державних позик України короткострокова дисконтна бездокументарна іменна
1220265,Облігація зовнішніх державних позик України короткострокова дисконтна документарна іменна
1320265,Облігація зовнішніх державних позик України короткострокова дисконтна документарна на пред'явника
1120270,Облігація міжнародної фінансової організації відсоткова бездокументарна іменна
1120271,Облігація міжнародної фінансової організації дисконтна бездокументарна іменна
1120280,Облігація Фонду гарантування вкладів фізичних осіб довгострокова бездокументарна іменна
1120281,Облігація Фонду гарантування вкладів фізичних осіб середньострокова бездокументарна іменна
1120282,Облігація Фонду гарантування вкладів фізичних осіб короткострокова бездокументарна іменна
1160290,Державний дериватив бездокументарний іменний
1120300,Казначейське зобов'язання України довгострокове бездокументарне іменне
1220300,Казначейське зобов'язання України довгострокове документарне іменне
1320300,Казначейське зобов'язання України довгострокове документарне на пред'явника
1120301,Казначейське зобов'язання України середньострокове бездокументарне іменне
1220301,Казначейське зобов'язання України середньострокове документарне іменне
1320301,Казначейське зобов'язання України середньострокове документарне на пред'явника
1120302,Казначейське зобов'язання України короткострокове бездокументарне іменне
1220302,Казначейське зобов'язання України короткострокове документарне іменне
