status,name,company_profile,head,short_name,location,edrpou
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ ПРОМИСЛОВО-ІНВЕСТИЦІЙНИЙ БАНК""",64.19 Інші види грошового посередництва,РОЖОК АНДРІЙ ВОЛОДИМИРОВИЧ,"ПАТ ""ПРОМІНВЕСТБАНК""","01001, м.Київ, Шевченківський район,  ПРОВУЛОК  ШЕВЧЕНКА, будинок 12",39002
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""УКРСОЦБАНК""",64.19 Інші види грошового посередництва,САВОЩЕНКО ТАМАРА ЮРІЇВНА,"ПАТ""УКРСОЦБАНК""","03150, м.Київ, Голосіївський район, ВУЛИЦЯ КОВПАКА, будинок 29",39019
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЛЕГБАНК """,64.19 Інші види грошового посередництва,КОВАЛЕНКО ОЛЕКСАНДР ВОЛОДИМИРОВИЧ,"ПАТ""ЛЕГБАНК""","01033, м.Київ, Голосіївський район, ВУЛИЦЯ  ЖИЛЯНСЬКА, будинок 27",14291780
в стані припинення,"АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ТРАНСБАНК""",64.19 Інші види грошового посередництва,ЛИТВИНЧУК ВОЛОДИМИР ІВАНОВИЧ,"ВАТ АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ТРАНСБАНК""","03150, м.Київ, Голосіївський район, ВУЛИЦЯ ФІЗКУЛЬТУРИ, будинок 9",16293211
припинено,"Акціонерний комерційний банк ""Народний банк""",,,,"01025, м. Київ, вул. Велика Житомирська, 24",14361032
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК АЛЬЯНС""",64.19 Інші види грошового посередництва,ОНИЩЕНКО НАТАЛІЯ ВАСИЛІВНА,"ПАТ ""БАНК АЛЬЯНС""","04053, м.Київ, Шевченківський район, ВУЛИЦЯ СІЧОВИХ СТРІЛЬЦІВ, будинок 50",14360506
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" БАНК ПЕТРОКОММЕРЦ - УКРАЇНА """,64.19 Інші види грошового посередництва,ГУЛЕЙ ОЛЕКСАНДР ІВАНОВИЧ,"ПАТ ""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""","01601, м.Київ, Шевченківський район,  ВУЛ.ВЕЛИКА ЖИТОМИРСЬКА, будинок 20",22906155
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ФІНАНСИ ТА КРЕДИТ""",64.19 Інші види грошового посередництва,ВАЛЕНДЮК ВЛАДИСЛАВ СЕРГІЙОВИЧ,"АТ ""БАНК ""ФІНАНСИ ТА КРЕДИТ""","04050, м.Київ, Шевченківський район, ВУЛИЦЯ АРТЕМА, будинок 60",9807856
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКА ІННОВАЦІЙНА КОМПАНІЯ""",68.20 Надання в оренду й експлуатацію власного чи орендованого нерухомого майна,ІЛЬЮЧЕНКО АЛЛА МИКОЛАЇВНА,"ПАТ ""УКР/ІН/КОМ""","93404, Луганська обл., місто Сєвєродонецьк, ВУЛИЦЯ СМЕТАНІНА, будинок 3-А",5839888
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ОМЕГА БАНК""",64.19 Інші види грошового посередництва,КАРАЧЕНЦЕВ АРТЕМ ЮРІЙОВИЧ,"ПАТ ""ОМЕГА БАНК""","04080, м.Київ, Оболонський район, ВУЛИЦЯ НОВОКОСТЯНТИНІВСЬКА, будинок 18,ЛІТЕРА В",19356840
